case_name,thickness_shell,longitude_num,latitude_num,rib_levels,longitude_height,latitude_height,longitude_thickness,latitude_thickness,longitude_rib_boundary_angle,top_unribbed_cap_angle,total_mass,eigenvalue,buckling_pressure
G98_t2p48_nlon6_nlat9,2.48,6,9,2,11.3,14,1.3,1.41,63,24,2.88710387e-02,7.18790000e-01,7.18790000e-01
G99_t2p55_nlon8_nlat8,2.55,8,8,2,6.7,13.7,1.4,1.38,65,26,2.89994391e-02,6.78950000e-01,6.78950000e-01
G100_t2p45_nlon8_nlat7,2.45,8,7,2,7.8,13.4,1.52,1.31,60,23,2.88626840e-02,7.05190000e-01,7.05190000e-01
G101_t2p45_nlon7_nlat9,2.45,7,9,2,8.3,13.2,1.16,1.01,69,34,2.86165946e-02,5.76080000e-01,5.76080000e-01
G102_t2p4_nlon7_nlat9,2.4,7,9,2,8.1,15,1.12,1.48,68,34,2.80399110e-02,6.05840000e-01,6.05840000e-01
G103_t2p39_nlon8_nlat9,2.39,8,9,2,10.3,11.2,1.7,0.99,62,25,3.09088255e-02,7.02540000e-01,7.02540000e-01
G104_t2p32_nlon7_nlat8,2.32,7,8,2,9.6,12.8,1.49,1.16,66,30,2.86355454e-02,6.39930000e-01,6.39930000e-01
G105_t2p31_nlon7_nlat9,2.31,7,9,2,7.6,11.7,1.47,1.25,61,27,2.69344021e-02,5.66450000e-01,5.66450000e-01
G106_t2p58_nlon8_nlat10,2.58,8,10,2,10,12.4,1.55,1.49,63,31,3.25390659e-02,7.46070000e-01,7.46070000e-01
G107_t2p46_nlon9_nlat7,2.46,9,7,2,7.1,11.9,1.73,1.1,64,33,3.09575126e-02,6.72700000e-01,6.72700000e-01
G108_t2p36_nlon9_nlat8,2.36,9,8,2,8.7,12.1,1.32,1.04,61,30,2.89990498e-02,6.00850000e-01,6.00850000e-01
G109_t2p43_nlon7_nlat8,2.43,7,8,2,8,13.8,1.14,1.21,68,25,2.70087247e-02,6.08680000e-01,6.08680000e-01
G110_t2p53_nlon8_nlat9,2.53,8,9,2,10.5,15.4,1.67,1.08,69,30,3.30255712e-02,8.97500000e-01,8.97500000e-01
G111_t2p54_nlon8_nlat10,2.54,8,10,2,10.4,14.4,1.64,0.95,61,35,3.35874773e-02,8.82150000e-01,8.82150000e-01
G112_t2p52_nlon7_nlat10,2.52,7,10,2,11,12.9,1.26,1.53,66,24,2.96522120e-02,6.72050000e-01,6.72050000e-01
