case_name,t,n,p,a,total_mass,eigenvalue,buckling_pressure
G155_t4p5_n11_P225_A70,4.5,11,225,70,2.05E-01,4.71E+00,4.71E-01
G156_t4p75_n11_P225_A70,4.75,11,225,70,2.17E-01,5.27E+00,5.27E-01
G157_t4p25_n11_P220_A80,4.25,11,220,80,2.03E-01,4.96E+00,4.96E-01
G158_t4p375_n11_P220_A80,4.375,11,220,80,2.09E-01,5.26E+00,5.26E-01
G159_t4p25_n11_P220_A85,4.25,11,220,85,2.07E-01,4.95E+00,4.95E-01
G160_t4p5_n11_P230_A80,4.5,11,230,80,2.13E-01,5.27E+00,5.27E-01
G161_t4p5_n11_P235_A80,4.5,11,235,80,2.13E-01,4.57E+00,4.57E-01
G162_t4p75_n11_P230_A75,4.75,11,230,75,2.21E-01,5.56E+00,5.56E-01
G163_t4p75_n11_P235_A75,4.75,11,235,75,2.20E-01,4.98E+00,4.98E-01
G164_t4p5_n12_P210_A65,4.5,12,210,65,2.06E-01,5.09E+00,5.09E-01
G165_t4p625_n12_P210_A65,4.625,12,210,65,2.11E-01,5.33E+00,5.33E-01
G166_t4p5_n12_P210_A70,4.5,12,210,70,2.10E-01,5.38E+00,5.38E-01
G167_t4p375_n12_P205_A70,4.375,12,205,70,2.05E-01,4.99E+00,4.99E-01
G168_t4p5_n12_P205_A65,4.5,12,205,65,2.06E-01,4.92E+00,4.92E-01
G169_t4p5_n12_P200_A70,4.5,12,200,70,2.11E-01,5.09E+00,5.09E-01
G170_t4p625_n12_P200_A65,4.625,12,200,65,2.12E-01,4.91E+00,4.91E-01
G171_t4p5_n10_P250_A80,4.5,10,250,80,2.07E-01,4.71E+00,4.71E-01
G172_t4p75_n10_P250_A80,4.75,10,250,80,2.19E-01,5.28E+00,5.28E-01
G173_t4p5_n10_P245_A85,4.5,10,245,85,2.12E-01,5.27E+00,5.27E-01
G174_t4p75_n10_P245_A80,4.75,10,245,80,2.19E-01,5.41E+00,5.41E-01
G175_t4p75_n10_P240_A85,4.75,10,240,85,2.24E-01,5.74E+00,5.74E-01
G176_t5_n10_P245_A75,5,10,245,75,2.27E-01,5.47E+00,5.47E-01
G177_t5_n9_P270_A75,5,9,270,75,2.21E-01,4.68E+00,4.68E-01
G178_t5_n9_P265_A75,5,9,265,75,2.21E-01,4.67E+00,4.67E-01
G179_t5p25_n9_P260_A70,5.25,9,260,70,2.29E-01,5.18E+00,5.18E-01
G180_t5_n9_P260_A85,5,9,260,85,2.29E-01,5.29E+00,5.29E-01
G181_t4p75_n9_P260_A90,4.75,9,260,90,2.21E-01,4.53E+00,4.53E-01
