t,n,p,a,n_times_p,pred_total_mass,std_total_mass,pred_eigenvalue,std_eigenvalue,pred_buckling_pressure,std_buckling_pressure,feasible,min_constraint_margin
2.8470318199912117,6,201,59,1206.0,0.11625092406427845,0.0003259581204396636,1.1204682824271046,1.5753395951392988,0.11204682824270937,0.15753395951392987,True,0.006986828242709367
2.865726808844123,9,273,52,2457.0,0.11799982769882787,4.2295471374619765e-05,1.060849182631526,0.2512174781061417,0.10608491826314184,0.025121747810614173,True,0.0010249182631418413
2.813280336803333,11,237,50,2607.0,0.1185675720139919,0.00014361939398257751,1.2563166522385476,1.2893226385152352,0.12563166522385458,0.1289322638515235,True,0.020571665223854577
2.801367,11,214,51,2354.0,0.11906685837571096,5.740390617879675e-05,1.2107998217934157,0.0025381269153560517,0.12107998217934146,0.00025381269153560516,True,0.01601998217934146
2.801367347663531,11,214,51,2354.0,0.11906687310883007,5.740387562825973e-05,1.210799861544386,0.0025381259569444564,0.12107998615443884,0.00025381259569444566,True,0.016019986154438837
2.810356072127879,9,274,63,2466.0,0.11924385178347055,4.4503275282236904e-05,1.1615905224782452,0.3513617357309723,0.1161590522478381,0.03513617357309723,True,0.011099052247838095
2.876302675567263,9,257,54,2313.0,0.11934709888361966,5.638125043751631e-05,1.2641631550552257,0.6587684484634194,0.12641631550553795,0.06587684484634194,True,0.021356315505537946
2.8432345671644756,9,261,59,2349.0,0.11954616250499617,5.191303837103472e-05,1.1532421211666621,0.4695604550860337,0.11532421211666807,0.04695604550860337,True,0.010264212116668073
2.813082331673966,6,242,82,1452.0,0.11964340365013901,0.0006358993797812148,1.2016387278273974,2.38182483919771,0.12016387278273918,0.23818248391977098,True,0.015103872782739183
2.8332003378196347,6,286,85,1716.0,0.11998254035577698,0.0004393887542584446,1.0695677600342481,2.3191280385859487,0.10695677600342354,0.23191280385859486,True,0.001896776003423542
2.815599797841024,6,220,80,1320.0,0.12000484757000282,0.00080986072893859,1.2686100283894381,2.4187681838541004,0.12686100283894378,0.24187681838541006,True,0.021801002838943775
2.847052772252069,9,248,59,2232.0,0.12002043659074078,7.132072405458112e-05,1.1632256621722625,0.9198386185786919,0.11632256621722675,0.09198386185786919,True,0.011262566217226752
2.934885768553971,8,270,54,2160.0,0.12013053573933752,3.963767483556983e-05,1.0817764424392786,0.2563655591100782,0.1081776442439171,0.025636555911007816,True,0.0031176442439170976
2.824876147400413,6,287,87,1722.0,0.12016417483218945,0.0005392102085315627,1.2269407830170005,2.405168684313576,0.12269407830169932,0.2405168684313576,True,0.017634078301699316
2.830345604782067,6,323,89,1938.0,0.1201855567047097,0.00040212798786930205,1.0661721460064568,2.041782692963165,0.10661721460064516,0.2041782692963165,True,0.0015572146006451598
2.8031660733189048,9,275,67,2475.0,0.12032991650149724,6.135914210594881e-05,1.1708988487293732,0.9022564749379265,0.117089884872936,0.09022564749379265,True,0.012029884872936006
2.8257649864609666,6,360,92,2160.0,0.12043988285741312,0.00048234044352017875,1.0849206088703327,2.264534823319499,0.10849206088703295,0.2264534823319499,True,0.0034320608870329478
2.8144057929720416,10,242,59,2420.0,0.12046107319058043,6.209414688917859e-05,1.1656510402168285,0.9342641345028809,0.11656510402168335,0.09342641345028808,True,0.011505104021683352
2.8173955521172194,6,364,94,2184.0,0.12072480199878143,0.0006217461707922865,1.2537466817713518,2.4045079319464295,0.12537466817713497,0.24045079319464296,True,0.020314668177134967
2.8297915288287623,9,269,65,2421.0,0.1208988435649289,5.602569758051228e-05,1.3036068958935814,0.6880203075803055,0.13036068958934693,0.06880203075803056,True,0.025300689589346934
2.8058157810822104,9,256,67,2304.0,0.12097549035182772,9.053336987940751e-05,1.4693266390049788,1.279111651955914,0.14693266390049725,0.1279111651955914,True,0.04187266390049725
2.842315233684163,9,245,62,2205.0,0.12098962947678168,8.844168269782289e-05,1.272549938880829,1.1527282255084952,0.12725499388808023,0.11527282255084952,True,0.02219499388808023
2.854688999018946,11,235,52,2585.0,0.12115128083967475,0.00012148191122980781,1.2095829223916756,1.1665930381691958,0.12095829223916679,0.11665930381691958,True,0.015898292239166792
2.827245122884564,9,231,63,2079.0,0.12115855008183665,0.0001327381855599251,1.135046053242903,1.6100538279538448,0.11350460532429318,0.16100538279538448,True,0.008444605324293183
2.918122475243111,9,251,55,2259.0,0.12154869139213828,6.0089228617276355e-05,1.2324486975448303,0.8140875358377976,0.1232448697544975,0.08140875358377976,True,0.0181848697544975
2.836353065798214,6,216,82,1296.0,0.12164356340971827,0.0010153238092922767,1.4208293632864784,2.4874017815897433,0.14208293632864785,0.2487401781589743,True,0.03702293632864785
2.812132575773581,6,337,97,2022.0,0.12175372834202065,0.0008682536963083922,1.4539039833959586,2.4698282330677945,0.14539039833959574,0.24698282330677945,True,0.040330398339595744
2.902257634007334,9,269,59,2421.0,0.12185104232973695,3.7574429057370914e-05,1.0643549987170093,0.1923062009397729,0.10643549987168384,0.01923062009397729,True,0.0013754998716838385
2.8127278436644283,6,381,98,2286.0,0.12194501374387197,0.0010550505531589588,1.5273928808510358,2.5247080907541175,0.15273928808510354,0.25247080907541175,True,0.047679288085103536
2.8052027502936987,7,318,89,2226.0,0.12203652888866898,0.0004737350153596528,1.065628530567181,2.322869450022508,0.10656285305671728,0.23228694500225078,True,0.001502853056717282
