G300_t8p8_n4_P640_A32p5,8.800000,4,640.000000,32.500000,4.85431544e-01,1.15360000e+00,1.15360000e-01
G301_t12p2_n5_P510_A48p2,12.200000,5,510.000000,48.200000,6.78310964e-01,8.51170000e+00,8.51170000e-01
G302_t9p5_n6_P425_A41,9.500000,6,425.000000,41.000000,5.28645206e-01,5.43930000e+00,5.43930000e-01
G303_t13p1_n7_P365_A54p5,13.100000,7,365.000000,54.500000,7.42685166e-01,1.01990000e+01,1.01990000e+00
G304_t10p6_n8_P320_A28,10.600000,8,320.000000,28.000000,5.91069082e-01,4.55240000e+00,4.55240000e-01
G305_t11p5_n4_P652_A51,11.500000,4,652.000000,51.000000,6.36088516e-01,6.09310000e+00,6.09310000e-01
G306_t9p1_n5_P524_A37p8,9.100000,5,524.000000,37.800000,5.03730582e-01,2.61940000e+00,2.61940000e-01
G307_t12p8_n6_P436_A30p5,12.800000,6,436.000000,30.500000,7.11471978e-01,5.40030000e+00,5.40030000e-01
G308_t10p2_n7_P372_A45,10.200000,7,372.000000,45.000000,5.72446569e-01,6.29200000e+00,6.29200000e-01
G309_t13p9_n8_P326_A58,13.900000,8,326.000000,58.000000,7.99610169e-01,1.25110000e+01,1.25110000e+00
G310_t9p3_n6_P430_A42,9.300000,6,430.000000,42.000000,5.17675203e-01,5.21870000e+00,5.21870000e-01
G311_t9p3_n7_P370_A45,9.300000,7,370.000000,45.000000,5.21624757e-01,4.82880000e+00,4.82880000e-01
G312_t9p5_n6_P435_A38,9.500000,6,435.000000,38.000000,5.28044699e-01,4.34930000e+00,4.34930000e-01
G313_t9p4_n6_P425_A40,9.400000,6,425.000000,40.000000,5.22827203e-01,4.99650000e+00,4.99650000e-01
G314_t9p2_n7_P372_A43,9.200000,7,372.000000,43.000000,5.15223963e-01,5.08950000e+00,5.08950000e-01
G315_t9p4_n7_P370_A40,9.400000,7,370.000000,40.000000,5.25449009e-01,5.47970000e+00,5.47970000e-01
G316_t9_n6_P430_A46,9.000000,6,430.000000,46.000000,5.01810285e-01,4.59230000e+00,4.59230000e-01
G317_t9p1_n6_P425_A44,9.100000,6,425.000000,44.000000,5.06926060e-01,5.23990000e+00,5.23990000e-01
G318_t9_n6_P435_A42,9.000000,6,435.000000,42.000000,5.00881351e-01,4.73960000e+00,4.73960000e-01
G319_t8p9_n6_P435_A45,8.900000,6,435.000000,45.000000,4.95960585e-01,3.79280000e+00,3.79280000e-01
G320_t8p8_n6_P435_A48,8.800000,6,435.000000,48.000000,4.91095438e-01,3.90690000e+00,3.90690000e-01
G321_t8p9_n7_P372_A45,8.900000,7,372.000000,45.000000,4.99037774e-01,4.23920000e+00,4.23920000e-01
G322_t8p7_n6_P441p6_A40,8.700000,6,441.600000,40.000000,4.83699942e-01,4.23570000e+00,4.23570000e-01
G323_t8p5_n6_P441p6_A40,8.500000,6,441.600000,40.000000,4.72514802e-01,4.08250000e+00,4.08250000e-01
G324_t8p7_n6_P435_A42,8.700000,6,435.000000,42.000000,4.84084486e-01,4.36220000e+00,4.36220000e-01
