target,parameter,sobol_s1,sobol_st
total_mass,t,0.8980249493017857,0.9432841571010421
total_mass,n,0.0,0.011732126594791724
total_mass,p,0.05993268072248734,0.0026777737186606306
total_mass,a,0.05461821100858978,0.04819084928696204
buckling_pressure,t,0.3145892410685387,0.7269308869523464
buckling_pressure,n,0.0,0.22107706080778666
buckling_pressure,p,0.0,0.2645507590560966
buckling_pressure,a,0.028719931150211483,0.36676697967933
