target,parameter,gp_permutation_effect,abs_pearson_correlation,normalized_gp_effect
total_mass,t,0.09617970503022408,0.9937738716590688,0.7082451673665626
total_mass,n,0.009898411484500437,0.2551953408839818,0.07288961945038297
total_mass,p,0.008271973593000973,0.008817273621617322,0.060912905898242505
total_mass,a,0.021449925849806463,0.7258842200756188,0.15795230728481205
buckling_pressure,t,0.2056797313181947,0.9577841955291961,0.3313491866565531
buckling_pressure,n,0.11955663670189846,0.323041279789272,0.19260524154069947
buckling_pressure,p,0.13835142599332853,0.04645824875620182,0.22288356845791157
buckling_pressure,a,0.15714628230523817,0.718643859718878,0.25316200334483585
